eu rejects german call to boycott british lamb .|||B-ORG O B-MISC O O O B-MISC O O
for the distribution and supervision of humanitarian supplies the united nations estimated it needed 1,190 people , including 267 international staff and 923 iraqi support staff .|||O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O B-MISC O O O
of this number 64 foreign and 598 local staff would be in the northern kurdish provinces , no longer the direct control of the baghdad government .|||O O O O O O O O O O O O O O B-MISC O O O O O O O O O B-LOC O O
another 203 international staff and 325 iraqis would run the programme in the central and southern parts of the country .|||O O O O O O B-MISC O O O O O O O O O O O O O O
there are also 14 monitors to watch oil flows , 32 customs experts and four new york-based oil experts or overseers to approve contracts .|||O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O O O
yasushi akashi , the dha undersecretary-general , told the security council last week that the " financial requirements to support the ( humanitarian ) programme represent a very modest percentile of the total ...|||B-PER I-PER O O B-ORG O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O
roughly 3 percent . "|||O O O O O
official journal contents - oj c 251 of august 29 , 1996 .|||B-ORG I-ORG O O B-ORG O O O O O O O O
*|||O
( note - contents are displayed in reverse order to that in the printed journal )|||O O O O O O O O O O O O O O B-ORG O
*|||O
aircraft noise and emissions economic assessment of proposals for a common european union position for caep 4 consultancy services call for tender ( 96 / c 251/09 )|||O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O
provision of overland transport services for material and equipment for european commission delegations in european third countries and in the new independent states ( nis ) contract notice no tra / 96 / 003 / iae-3 - open procedure ( 96 / c 251/08 )|||O O O O O O O O O O B-ORG I-ORG O O B-MISC I-MISC I-MISC O O O B-MISC I-MISC I-MISC O B-MISC O O O O O O O O O O O O O O O O O O O O
microfiche production system open procedure invitation to tender di 96/04 micromation ( 96 / c 251/07 )|||O O O O O O O O O O O O O O O O O
aircraft noise and emissions gaseous emissions from aircraft in the atmosphere consultancy services call for tender ( 96 / c 251/06 )|||O O O O O O O O O O O O O O O O O O O O O O
tacis - support framework for the coordination and development of the tacis information and communications programme notice of open invitation to tender for a public service contract ( 96 / c 251/05 )|||B-MISC O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O
council regulation ( eec ) no 4064/89 ( 96 / c 251/04 )|||O O O B-ORG O O O O O O O O O
financial statements of the european coal and steel community at 31 december 1995 ( 96 / c 251/03 )|||O O O O B-MISC O O O O O O O O O O O O O O
average prices and representative prices for table wines at the various marketing centres ( 96 / c 251/02 )|||O O O O O O O O O O O O O O O O O O O
ecu ( 1 ) 28 august 1996 ( 96 / c 251/01 ) end of document .|||B-MISC O O O O O O O O O O O O O O O O
eu commission cool on changing beef cull plan .|||B-ORG I-ORG O O O O O O O
brussels 1996-08-29|||B-LOC O
the european commission said on thursday it would study scientific reports saying britain 's mad cow epidemic would die out by 2001 but offered little prospect the findings would change an agreed slaughter campaign .|||O B-ORG I-ORG O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O
" obviously we are interested in this research .|||O O O O O O O O O
we will ask the ( eu ) scientific and veterinary committee to examine it , " commission spokesman gerard kiely told reuters .|||O O O O O B-ORG O O O O O O O O O O B-ORG O B-PER I-PER O B-ORG O
but he added that new research into the dynamics of the bovine spongiform encephalopathy ( bse ) , a fatal brain-wasting disease suffered by cattle , was unlikely to alter a slaughter plan agreed by britain and its 14 eu partners .|||O O O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O O O O B-LOC O O O B-ORG O O
" we agreed that following detailed scientific analysis using a methodology which would take out the maximum number of bse cases possible .|||O O O O O O O O O O O O O O O O O O O B-MISC O O O
i think it would be very difficult to sell to the european commission a programme which would involve the elimination of fewer bse cases , " kiely said .|||O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O B-MISC O O O B-PER O O
" we will look at our approach ( to the plan ) but we wo n't get involved with the number of animals to be slaughtered , " he said .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" we have always avoided the question of numbers of animals to be slaughtered , that 's not the issue .|||O O O O O O O O O O O O O O O O O O O O O
the issue is the protection of consumers ' health and the rapid eradication of bse , " he added .|||O O O O O O O O O O O O O O B-MISC O O O O O
the reaction is likely to disappoint british farmers , who seized on research by oxford scientists in the scientific journal nature saying it would be hard to get rid of the disease any faster than 2001 without killing vast numbers of cattle .|||O O O O O O B-MISC O O O O O O O B-ORG O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O
the researchers predicted there would be 340 new infections and 14,000 new cases of bse before 2001 .|||O O O O O O O O O O O O O O B-MISC O O O
british farmers ' leader called on wednesday for an urgent meeting with ministers to discuss the report .|||B-MISC O O O O O O O O O O O O O O O O O
" i hope the government will now make it clear they believe there is a better way of dealing with this issue , " national farmers union president sir david naish told bbc radio .|||O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O B-PER I-PER O B-ORG I-ORG O
naish said there was no need for britain to carry out a planned cull of some 147,000 cattle to which it had reluctantly agreed to placate its european partners .|||B-PER O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O B-MISC O O
" the new evidence to me means some of that proposal should be re-examined because we could get away with considerably less animals being culled if in fact scientists throughout europe accepted this evidence , " naish said .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O B-PER O O
the report could well reopen a damaging row between britain and the eu , which slapped a worldwide ban on british beef after the government said there could be a link between bse and the human form of the disease .|||O O O O O O O O O B-LOC O O B-ORG O O O O O O O B-MISC O O O O O O O O O O O B-MISC O O O O O O O O
the issue flared in in march when government scientists admitted that people could become infected with creutzfeldt-jakob disease ( cjd ) from eating bse-infected beef .|||O O O O O O O O O O O O O O O O B-MISC I-MISC O B-MISC O O O B-MISC O O
french farmers set up blockades in mad cow protest .|||B-MISC O O O O O O O O O
paris 1996-08-29|||B-LOC O
thousands of farmers threw up roadblocks across france overnight , stopping and checking lorries suspected of importing meat from outside the european union , french radios reported on thursday .|||O O O O O O O B-LOC O O O O O O O O O O O O O B-ORG I-ORG O B-MISC O O O O O
radio stations said around 15,000 farmers , angered by a fall in beef prices following the mad cow disease crisis , staged protests in many areas and blockaded several main roads and motorways .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
by 3 a.m. ( 0100 gmt ) more than 2,000 lorries had been stopped and searched .|||O O O O O B-MISC O O O O O O O O O O O
european beef sales plunged after britain announced the discovery of a likely link between bovine spongiform encephalopathy ( bse ) , or mad cow disease , and its fatal human equivalent creutzfeldt-jakob disease ( cjd ) .|||B-MISC O O O O B-LOC O O O O O O O O O O O O B-MISC O O O O O O O O O O O O B-MISC I-MISC O B-MISC O O
golf - british masters second round scores .|||B-LOC O B-MISC I-MISC O O O O
northampton , england 1996-08-29|||B-LOC O B-LOC O
leading scores after|||O O O
the second round of the british masters on thursday ( british|||O O O O O B-MISC I-MISC O O O B-MISC
unless stated ) :|||O O O O
140 robert allenby ( australia ) 69 71 , mark roe 69 71|||O B-PER I-PER O B-LOC O O O O B-PER I-PER O O
141 francisco cea ( spain ) 70 71 , gavin levenson ( south africa )|||O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC I-LOC O
66 75|||O O
142 daniel chopra ( sweden ) 74 68|||O B-PER I-PER O B-LOC O O O
143 david gilford 69 74|||O B-PER I-PER O O
144 peter o'malley ( australia ) 71 73 , costantino rocca ( italy )|||O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O
71 73 , colin montgomerie 68 76 , david howell 70 74 , mark|||O O O B-PER I-PER O O O B-PER I-PER O O O B-PER
davis 71 73|||B-PER O O
145 peter mitchell 74 71 , philip walton ( ireland ) 71 74 , retief|||O B-PER I-PER O O O B-PER I-PER O B-LOC O O O O B-PER
goosen ( south africa ) 71 74 , ove sellberg ( sweden ) 71 74 ,|||B-PER O B-LOC I-LOC O O O O B-PER I-PER O B-LOC O O O O
peter hedblom ( sweden ) 70 75 , pedro linhart ( spain ) 72 73 ,|||B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O
mike clayton ( australia ) 69 76 , emanuele canonica ( italy )|||B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O
69 76 , miguel angel martin ( spain ) 75 70|||O O O B-PER I-PER I-PER O B-LOC O O O
146 iain pyman 71 75 , eduardo romero ( argentina ) 70 76 , ian|||O B-PER I-PER O O O B-PER I-PER O B-LOC O O O O B-PER
woosnam 70 76 , miguel angel jimenez ( spain ) 74 72 , klas|||B-PER O O O B-PER I-PER I-PER O B-LOC O O O O B-PER
eriksson ( sweden ) 71 75 , paul eales 75 71|||B-PER O B-LOC O O O O B-PER I-PER O O
147 antoine lebouc ( france ) 74 73 , paul curry 76 71 , andrew|||O B-PER I-PER O B-LOC O O O O B-PER I-PER O O O B-PER
coltart 72 75 , paul lawrie 72 75 , jose coceres ( argentina )|||B-PER O O O B-PER I-PER O O O B-PER I-PER O B-LOC O
69 78 , raymond russell 69 78 , roger chapman 71 76 , paul|||O O O B-PER I-PER O O O B-PER I-PER O O O B-PER
affleck 74 73 .|||B-PER O O O
cycling - sorensen wins fourth stage of tour of netherlands .|||O O B-PER O O O O B-MISC I-MISC I-MISC O
doetinchem , netherlands 1996-08-29|||B-LOC O B-LOC O
leading results and overall standings after the 19.6 kilometre fourth stage of the tour of the netherlands on thursday , a time trial starting and finishing in doetinchem .|||O O O O O O O O O O O O O B-MISC I-MISC I-MISC I-MISC O O O O O O O O O O B-LOC O
1. rolf sorensen ( denmark ) rabobank 22 minutes 40 seconds|||O B-PER I-PER O B-LOC O B-ORG O O O O
2. lance armstrong ( u.s. ) motorola 1 second behind|||O B-PER I-PER O B-LOC O B-ORG O O O
3. vyacheslav ekimov ( russia ) rabobank 29 seconds behind|||O B-PER I-PER O B-LOC O B-ORG O O O
4. erik dekker ( netherlands ) rabobank 43|||O B-PER I-PER O B-LOC O B-ORG O
5. giunluca gorini ( italy ) aki 45|||O B-PER I-PER O B-LOC O B-ORG O
6. erik breukink ( netherlands ) rabobank 48|||O B-PER I-PER O B-LOC O B-ORG O
7. wilfried peeters ( belgium ) mapei 51|||O B-PER I-PER O B-LOC O B-ORG O
8. bart voskamp ( netherlands ) tvm 53|||O B-PER I-PER O B-LOC O B-ORG O
9. michael andersson ( sweden ) telekom 54|||O B-PER I-PER O B-LOC O B-ORG O
10. gregory randolph ( usa ) motorola 1 minute 3 seconds|||O B-PER I-PER O B-LOC O B-ORG O O O O
leading overall placings after three stages :|||O O O O O O O
1. sorensen 11.20:33|||O B-PER O
2. armstrong 3 seconds behind|||O B-PER O O O
3. ekimov 1 minute 7 seconds|||O B-PER O O O O
4. marco lietti ( italy ) mg-technogym 1 minute 14 seconds|||O B-PER I-PER O B-LOC O B-ORG O O O O
5. dekker 1 minute 21 seconds|||O B-PER O O O O
6. breukink 1 minute 26 seconds|||O B-PER O O O O
7. maarten den bakker ( netherlands ) tvm 1 minute 31 seconds|||O B-PER I-PER I-PER O B-LOC O B-ORG O O O O
8. voskamp same time|||O B-PER O O
9. andersson 1 minute 32 seconds|||O B-PER O O O O
10. olaf ludwig ( germany ) telekom 1 minute 44 seconds|||O B-PER I-PER O B-LOC O B-ORG O O O O
the race continues on friday with the 178 kilometre fifth-stage from zevenaar to venray .|||O O O O O O O O O O O B-LOC O B-LOC O
cricket - england beat pakistan in first one-dayer .|||O O B-LOC O B-LOC O O O O
manchester , england 1996-08-29|||B-LOC O B-LOC O
england beat pakistan by five wickets to win the first one-day ( 50 overs-a-side ) international at old trafford on thursday .|||B-LOC O B-LOC O O O O O O O O O O O O O O B-LOC I-LOC O O O
scores : pakistan 225-5 innings closed ( saeed anwar 57 ) , england 226-5 in 46.4 overs ( m. atherton 65 ) .|||O O B-LOC O O O O B-PER I-PER O O O B-LOC O O O O O B-PER I-PER O O O
cycling - world championship results .|||O O O O O O
manchester , england 1996-08-29|||B-LOC O B-LOC O
results at the world track cycling championships on thursday :|||O O O O O O O O O O
individual pursuit semifinals ( over 4,000 metres ) :|||O O O O O O O O O
chris boardman ( britain ) 4:15.006 beat alexei markov ( russia ) 4:23.029|||B-PER I-PER O B-LOC O O O B-PER I-PER O B-LOC O O
andrea collinelli ( italy ) 4:16.141 beat francis moreau ( france ) 4:19.665|||B-PER I-PER O B-LOC O O O B-PER I-PER O B-LOC O O
moreau takes bronze medal as faster losing semifinalist .|||B-PER O O O O O O O O
final :|||O O
chris boardman ( britain ) 4:11.114 ( world record ) beat andrea collinelli ( italy ) 4:20.341|||B-PER I-PER O B-LOC O O O O O O O B-PER I-PER O B-LOC O O
olympic sprint championship ( three-man teams ) :|||B-MISC O O O O O O O
1. australia ( darryn hill , shane kelly , gary neiwand ) 44.804|||O B-LOC O B-PER I-PER O B-PER I-PER O B-PER I-PER O O
seconds|||O
2. germany ( jens fiedler , michael hubner , soren lausberg )|||O B-LOC O B-PER I-PER O B-PER I-PER O B-PER I-PER O
45.455|||O
3. france ( laurent gane , florian rousseau , herve thuet )|||O B-LOC O B-PER I-PER O B-PER I-PER O B-PER I-PER O
45.810|||O
4. greece ( dimitrios georgalis , georgios chimonetos , lampros|||O B-LOC O B-PER I-PER O B-PER I-PER O B-PER
vasilopoulos ) 46.538|||B-PER O O
women 's world sprint championship quarter-finals ( best of|||O O O O O O O O O
three matches ) :|||O O O O
magali faure ( france ) beat kathrin freitag ( germany ) two|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
matches to nil ( with times for the last 200 metres of 11.833|||O O O O O O O O O O O O O
seconds and 12.033 seconds )|||O O O O O
felicia ballanger ( france ) beat oksana grichina ( russia ) 2-0 ,|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
( 11.776 / 12.442 )|||O O O O O
tanya dubnicoff ( canada ) beat michelle ferris ( australia ) 2-0 ,|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
( 12.211 / 12.208 )|||O O O O O
annett neumann ( germany ) beat galina enioukhina ( russia ) 2-0 ,|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
( 12.434 / 12.177).|||O O O O
cricket - croft restricts pakistan to 225-5 .|||O O B-PER O B-LOC O O O
manchester , england 1996-08-29|||B-LOC O B-LOC O
tight bowling from glamorgan off-spinner robert croft helped england to restrict pakistan to 225 for five in their 50 overs in the first one-day international at old trafford on thursday .|||O O O B-ORG O B-PER I-PER O B-LOC O O B-LOC O O O O O O O O O O O O O O B-LOC I-LOC O O O
croft , who was one of the few englishmen to make a good impression in his test debut at the oval last week , showed great control as he first dried up the early flow of pakistan runs and then collected the wickets of aamir sohail and wasim akram in a spell of 10-1-36-2 .|||B-PER O O O O O O O B-MISC O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O B-LOC O O O O O O O B-PER I-PER O B-PER I-PER O O O O O O
there was also a wicket each for ronnie irani , allan mullally and darren gough although there was no joy for dean headley who , along with lancashire batsman graham lloyd , was making his international debut .|||O O O O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O O O O O O B-PER I-PER O O O O B-ORG O B-PER I-PER O O O O O O O
after wasim had won the toss and chosen to bat first , pakistani made an excellent start as sohail and saeed anwar continued their good form with an opening partnership of 82 .|||O B-PER O O O O O O O O O O B-MISC O O O O O B-PER O B-PER I-PER O O O O O O O O O O O
anwar , who struck a superb 176 at the oval , was the more aggressive as he made 57 from 75 balls before skying a catch off irani to mullally at long-on .|||B-PER O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O B-PER O B-PER O O O
sohail and ijaz ahmed then added 59 for the second wicket before england struck back with three wickets for 19 in the space of five overs .|||B-PER O B-PER I-PER O O O O O O O O B-LOC O O O O O O O O O O O O O O
first , sohail , after making 48 , was bowled by croft as he stepped back to try and hit through the off-side .|||O O B-PER O O O O O O O O B-PER O O O O O O O O O O O O
wasim , who promoted himself to number four in the order , followed for six when croft drifted another well-flighted delivery behind his legs .|||B-PER O O O O O O O O O O O O O O O B-PER O O O O O O O O
shortly after ijaz was also back in the pavilion for 48 after irani had repaid mullally with another good catch at long-on .|||O O B-PER O O O O O O O O O B-PER O O B-PER O O O O O O O
gough later bowled moin khan with an inswinging yorker but inzamam-ul-haq , 37 not out , and salim malik took pakistan to 225 for five when the overs ran out .|||B-PER O O B-PER I-PER O O O O O B-PER O O O O O O B-PER I-PER O B-LOC O O O O O O O O O O
cricket - england v pakistan one-day scoreboard .|||O O B-LOC O B-LOC O O O
manchester , england 1996-08-29|||B-LOC O B-LOC O
scoreboard of the|||O O O
first one-day ( 50 overs-a-side ) match between england and|||O O O O O O O O B-LOC O
pakistan at old trafford on thursday :|||B-LOC O B-LOC I-LOC O O O
pakistan|||B-LOC
saeed anwar c mullally b irani 57|||B-PER I-PER O B-PER O B-PER O
aamir sohail b croft 48|||B-PER I-PER O B-PER O
ijaz ahmed c irani b mullally 48|||B-PER I-PER O B-PER O B-PER O
wasim akram b croft 6|||B-PER I-PER O B-PER O
inzamam-ul-haq not out 37|||B-PER O O O
moin khan b gough 10|||B-PER I-PER O B-PER O
salim malik not out 6|||B-PER I-PER O O O
extras ( b-2 lb-4 w-7 ) 13|||O O O O O O O
total ( for 5 wickets , innings closed ) 225|||O O O O O O O O O O
fall : 1-82 2-141 3-160 4-174 5-203 .|||O O O O O O O O
did not bat : mushtaq ahmed , waqar younis , ata-ur-rehman ,|||O O O O B-PER I-PER O B-PER I-PER O B-PER O
saqlain mushtaq .|||B-PER I-PER O
bowling : gough 10-0-44-1 , mullally 10-3-31-1 , headley|||O O B-PER O O B-PER O O B-PER
10-0-52-0 , irani 10-0-56-1 , croft 10-1-36-2 .|||O O B-PER O O B-PER O O
england|||B-LOC
n. knight c moin khan b wasim akram 26|||B-PER I-PER O B-PER I-PER O B-PER I-PER O
a. stewart lbw b waqar younis 48|||B-PER I-PER O O B-PER I-PER O
m. atherton b wasim akram 65|||B-PER I-PER O B-PER I-PER O
g. thorpe st moin khan b aamir sohail 23|||B-PER I-PER O B-PER I-PER O B-PER I-PER O
m. maynard b wasim akram 41|||B-PER I-PER O B-PER I-PER O
g. lloyd not out 2|||B-PER I-PER O O O
r. irani not out 6|||B-PER I-PER O O O
extras ( lb-4 w-7 nb-4 ) 15|||O O O O O O O
total ( for 5 wickets , 46.4 overs ) 226|||O O O O O O O O O O
fall of wickets : 1-57 2-98 3-146 4-200 5-220 .|||O O O O O O O O O O
did not bat : r. croft , d. gough , d. headley , a. mullally .|||O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O
bowling : wasim akram 9.4-1-45-3 , waqar younis 7-0-28-1 ,|||O O B-PER I-PER O O B-PER I-PER O O
saqlain mushtaq 10-1-54-0 , ata-ur-rehman 3-0-14-0 , mushtaq ahmed|||B-PER I-PER O O B-PER O O B-PER I-PER
10-0-52-0 , aamir sohail 7-1-29-1 .|||O O B-PER I-PER O O
result : england won by five wickets .|||O O B-LOC O O O O O
second match : august 31 , edgbaston ( birmingham )|||O O O O O O B-LOC O B-LOC O
third : september 1 , trent bridge ( nottingham )|||O O O O O B-LOC I-LOC O B-LOC O
lombardi wins third stage of tour of netherlands .|||B-PER O O O O B-MISC I-MISC I-MISC O
doetinchem , netherlands 1996-08-29|||B-LOC O B-LOC O
leading results and overall standings after the 122 kilometre third stage of the tour of the netherlands on thursday between almere and doetinchem .|||O O O O O O O O O O O O O B-MISC I-MISC I-MISC I-MISC O O O B-LOC O B-LOC O
1. giovanni lombardi ( italy ) polti 2 hours 35 minutes|||O B-PER I-PER O B-LOC O B-ORG O O O O
29 seconds|||O O
2. rolf sorensen ( denmark ) rabobank|||O B-PER I-PER O B-LOC O B-ORG
3. lance armstrong ( u.s. ) motorola|||O B-PER I-PER O B-LOC O B-ORG
4. maarten den bakker ( netherlands ) tvm all same time|||O B-PER I-PER I-PER O B-LOC O B-ORG O O O
5. marco lietti ( italy ) mg-technogym 1 second behind|||O B-PER I-PER O B-LOC O B-ORG O O O
6. hans de clerq ( belgium ) palmans 27 seconds|||O B-PER I-PER I-PER O B-LOC O B-ORG O O
7. marty jemison ( u.s. ) u.s. postal|||O B-PER I-PER O B-LOC O B-ORG I-ORG
8. servais knaven ( netherlands ) tvm|||O B-PER I-PER O B-LOC O B-ORG
9. olaf ludwig ( germany ) telekom all same time|||O B-PER I-PER O B-LOC O B-ORG O O O
10. jeroen blijlevens ( netherlands ) tvm 31|||O B-PER I-PER O B-LOC O B-ORG O
leading overall placings after three stages :|||O O O O O O O
1. sorensen 10.57:33|||O B-PER O
2. lombardi 1 second behind|||O B-PER O O O
3. armstrong 2 seconds|||O B-PER O O
4. den bakker 7|||O B-PER I-PER O
5. lietti 8|||O B-PER O
6. federico colonna ( italy ) mapei 27|||O B-PER I-PER O B-LOC O B-ORG O
7. max van heeswijk ( netherlands ) motorola 28|||O B-PER I-PER I-PER O B-LOC O B-ORG O
8. sven teutenberg ( germany ) u.s. postal 31|||O B-PER I-PER O B-LOC O B-ORG I-ORG O
9. johan capiot ( belgium ) collstrop 32|||O B-PER I-PER O B-LOC O B-ORG O
10. jans koerts ( netherlands ) palmans 34|||O B-PER I-PER O B-LOC O B-ORG O
the race continues on thursday afternoon with a 19.6 fourth-stage doetinchem-doetinchem time trial|||O O O O O O O O O O B-MISC O O
cricket - england v pakistan toss and teams .|||O O B-LOC O B-LOC O O O O
manchester , england 1996-08-29|||B-LOC O B-LOC O
pakistan won the toss and elected to bat in the first one-day cricket international between england and pakistan at old trafford on thursday .|||B-LOC O O O O O O O O O O O O O O B-LOC O B-LOC O B-LOC I-LOC O O O
teams :|||O O
england - mike atherton ( captain ) , nick knight , alec stewart , graham thorpe , matthew maynard , graham lloyd , ronnie irani , robert croft , darren gough , dean headley , alan mullally .|||B-LOC O B-PER I-PER O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O
pakistan : aamir sohail , saeed anwar , ijaz ahmed , inzamam-ul-haq , salim malik , wasim akram ( captain ) , moin khan , mushtaq ahmed , waqar younis , ata-ur-rehman , saqlain mushtaq .|||B-LOC O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER O B-PER I-PER O B-PER I-PER O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER O B-PER I-PER O
cricket - english county championship scores .|||O O B-MISC I-MISC I-MISC O O
london 1996-08-29|||B-LOC O
close of play scores in english county championship matches on thursday :|||O O O O O B-MISC O O O O O O
tunbridge wells : nottinghamshire 40-3 v kent|||B-LOC I-LOC O B-ORG O O B-ORG
london ( the oval ) : warwickshire 195 ( a. giles 50 ; b. julian 4-66 , c. lewis 4-45 ) , surrey 82-0 .|||B-LOC O B-LOC I-LOC O O B-ORG O O B-PER I-PER O O B-PER I-PER O O B-PER I-PER O O O B-ORG O O
hove : sussex 285-6 ( w. athey 111 ) v lancashire|||B-LOC O B-ORG O O B-PER I-PER O O O B-ORG
leeds ( headingley ) : yorkshire 290 ( c. white 76 , m. moxon 59 , r. blakey 57 ) , essex 79-2 .|||B-ORG O B-LOC O O B-ORG O O B-PER I-PER O O B-PER I-PER O O B-PER I-PER O O O B-ORG O O
chester-le-street : glamorgan 259 ( p. cottey 81 ; m. saggers 6-65 ) and 8-0 , durham 114 ( s. watkin 4-28 )|||B-LOC O B-ORG O O B-PER I-PER O O B-PER I-PER O O O O O B-ORG O O B-PER I-PER O O
chesterfield : worcestershire 238 ( w. weston 100 not out , v. solanki 58 ; a. harris 4-31 ) , derbyshire 166-1 ( k. barnett 83 not out )|||B-LOC O B-ORG O O B-PER I-PER O O O O B-PER I-PER O O B-PER I-PER O O O B-ORG O O B-PER I-PER O O O O
portsmouth : middlesex 199 and 226-1 ( j. pooley 106 not out , m. ramprakash 81 not out ) , hampshire 232 ( a. fraser 5-55 , r. fay 4-77 )|||B-LOC O B-ORG O O O O B-PER I-PER O O O O B-PER I-PER O O O O O B-ORG O O B-PER I-PER O O B-PER I-PER O O
leicester : somerset 83 ( d. millns 4-35 ) , leicestershire 202-5|||B-LOC O B-ORG O O B-PER I-PER O O O B-ORG O
bristol : gloucestershire 183 ( j. russell 50 ) , northamptonshire 123-4 ( k. curran 51 not out ) .|||B-LOC O B-ORG O O B-PER I-PER O O O B-ORG O O B-PER I-PER O O O O O
rugby union - telfer confirmed for lions coaching role .|||B-ORG I-ORG O B-PER O O B-ORG O O O
london 1996-08-30|||B-LOC O
scotland 's jim telfer was officially confirmed on thursday as assistant coach for the british lions tour to south africa next year .|||B-LOC O B-PER I-PER O O O O O O O O O O B-ORG I-ORG O O B-LOC I-LOC O O O
telfer , who has put on hold his role as scotland team manager for a year , will act as assistant to ian mcgeechan .|||B-PER O O O O O O O O O B-LOC O O O O O O O O O O O B-PER I-PER O
the pair last worked together when scotland won the five nations grand slam in 1990 .|||O O O O O O B-LOC O O B-MISC I-MISC O O O O O
the tour party will be announced towards the end of march .|||O O O O O O O O O O O O
athletics - christie to run in berlin .|||O O B-PER O O O B-LOC O
london 1996-08-29|||B-LOC O
linford christie has confirmed he will run in a " dream team " sprint relay at the berlin grand prix athletics meeting on friday .|||B-PER I-PER O O O O O O O O B-ORG I-ORG O O O O O B-LOC O O O O O O O
a spokeswoman for christie said the former olympic 100 metres champion had agreed to captain a quality quartet which also includes canada 's donovan bailey , the current olympic champion and world record holder , and namibian frankie fredericks .|||O O O B-PER O O O B-MISC O O O O O O O O O O O O O B-LOC O B-PER I-PER O O O B-MISC O O O O O O O O B-PER I-PER O
christie is retiring from international competition at the end of the season , but berlin promoter rudi thiel has persuaded him to join what is intended to be a special tribute to jesse owens , who won four gold medals 60 years ago at the berlin olympics .|||B-PER O O O O O O O O O O O O O B-LOC O B-PER I-PER O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O B-LOC B-MISC O
soccer - grobbelaar named temporary zimbabwe coach .|||O O B-PER O O B-LOC O O
harare 1996-08-29|||B-LOC O
england-based goalkeeper bruce grobbelaar has been appointed temporary head coach of the zimbabwe national soccer team for two international matches , the zimbabwe football association ( zifa ) said on thursday .|||B-MISC O B-PER I-PER O O O O O O O O B-LOC O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O O O
zifa vice-chairman vincent pamire said grobbelaar would take charge for a match against tanzania in harare on september 29 in the five-nation castle cup of africa tournament and an african nations ' cup first round qualifier against sudan in khartoum on october 5 .|||B-ORG O B-PER I-PER O B-PER O O O O O O O B-LOC O B-LOC O O O O O O B-MISC I-MISC I-MISC I-MISC O O O B-MISC I-MISC I-MISC I-MISC O O O O B-LOC O B-LOC O O O O
grobbelaar takes over until a permanent replacement is appointed for zimbabwe 's previous coach , switzerland 's marc duvillard .|||B-PER O O O O O O O O O B-LOC O O O O B-LOC O B-PER I-PER O
grobbelaar now plays for english second division leaders plymouth argyle after years in the top flight with liverpool and southampton .|||B-PER O O O B-MISC O O O B-ORG I-ORG O O O O O O O B-ORG O B-ORG O
grobbelaar , fellow goalkeeper hans segers , retired striker john fashanu and malaysian businessman heng suan lim pleaded not guilty in may to charges of giving or accepting bribes to fix english premier league matches .|||B-PER O O O B-PER I-PER O O O B-PER I-PER O B-MISC O B-PER I-PER I-PER O O O O O O O O O O O O O O B-MISC O O O O
they are due to stand trial next january .|||O O O O O O O O O
basketball - olympiakos beat dinamo 69-60 .|||O O B-ORG O B-ORG O O
belgrade 1996-08-29|||B-LOC O
olympiakos of greece beat russia 's dinamo 69-60 ( halftime 35-23 ) in the third match of an international basketball tournament on thursday , qualifying for the finals .|||B-ORG O B-LOC O B-LOC O B-ORG O O O O O O O O O O O O O O O O O O O O O O
